Type,Display Name,App ID,Created,Owners,Max Severity,Findings
App Registration,CoE Command Center,fdd1d8c1-bd2a-4c7a-a669-29d78072cad3,2022-09-21,dlafferty@nofmetalcoatings.us,Critical,[Critical] Secret expired 577 days ago (CoE Command Center)
App Registration,MCNA Sales BI API,8d2d5c15-1c77-43ee-82a2-7e5f0e64de46,2024-01-11,NONE,Critical,[Critical] Secret expired 100 days ago (MCNASalesBI); [High] No owners assigned
App Registration,Portals-0bd7ae86-dc67-411c-a026-ec5d1e79baf8,7aebc2b1-ccd7-4b37-bb35-0d0b81ec06d3,2022-04-12,dlafferty@nofmetalcoatings.us,Critical,[Critical] Certificate expired 739 days ago (CN=974ceb21-954e-46c6-a9db-938dbb056864)
App Registration,Portals-16fee18f-d882-4156-87fa-bc91bd672dd9,0a1ebfa0-a02e-4c6f-a922-17f2885e3964,2022-05-25,dlafferty@nofmetalcoatings.us,Critical,[Critical] Certificate expired 698 days ago (CN=6f1ea8b2-aae3-41c5-9f61-bd3b9730b515)
App Registration,Portals-Customer Order Status,a2feb987-b917-4988-b60f-23c9b522be48,2023-12-08,MIS@nofmetalcoatings.us,Critical,[Critical] Certificate expired 136 days ago (CN=d2a7596b-2d92-46ab-ac8e-900c82828dfd)
App Registration,Portals-Trial QMS Customer Portal,8c143d50-7528-4a54-b383-6376c412016b,2022-12-06,MIS@nofmetalcoatings.us,Critical,[Critical] Certificate expired 501 days ago (CN=572d7e80-ec54-4030-abf1-27cfffe9310e)
App Registration,TestCopilot,c323e7cc-2189-4b89-a552-b0071cf7e016,2023-12-06,MIS@nofmetalcoatings.us,Critical,[Critical] Secret expired 686 days ago (TestCopilot); [Medium] Multi-tenant sign-in audience: AzureADandPersonalMicrosoftAccount
App Registration,CI Project Tracker,c2003c6a-2465-475b-b8ae-b386e408bdb7,2026-02-19,NONE,High,[High] No owners assigned
App Registration,Claude MCP,fc07d232-86a0-4d9c-b14c-8c57565b197c,2026-04-09,NONE,High,[High] No owners assigned; [Medium] Active credentials but no recorded sign-in activity
App Registration,ConnectSyncProvisioning_MCNA-DC_04a43dcfcd20,e0e8dea6-55d9-4ac0-8ac0-5165c5711dc5,2025-09-17,NONE,High,[High] No owners assigned
App Registration,CopilotGraphConnector,baf6b296-9323-40b3-a464-db1058265340,2025-06-09,NONE,High,[High] No owners assigned; [Medium] Active credentials but no recorded sign-in activity
App Registration,MCNA-TenantIntel-ReadOnly,96587e5a-65a1-4b20-a82c-e61b2e6bc9db,2026-04-16,NONE,High,[High] No owners assigned
App Registration,MCNA_GPT,7de70e18-a859-4ddc-9d91-5bc12180d8a3,2024-07-17,NONE,High,[Medium] Secret expires in 88 days (GPT); [High] No owners assigned
App Registration,MessageCenterFeedBot,9f8be19f-3e1a-4cfd-877e-1d263ef8cf7c,2025-09-30,NONE,High,[High] No owners assigned; [Medium] Active credentials but no recorded sign-in activity
App Registration,P2P Server,a859ac50-a903-4387-888f-4e318820e7de,2017-01-28,NONE,High,[High] No owners assigned
App Registration,PBIService,33dbc93e-fdd6-4beb-9b95-572f78bbcc1b,2025-09-11,NONE,High,[High] No owners assigned; [Medium] Multi-tenant sign-in audience: AzureADMultipleOrgs; [Medium] Active credentials but no recorded sign-in activity
App Registration,PowerBI-Usage-Reader,5f4c7f91-968a-40bf-bb96-292c65ca5895,2026-04-08,NONE,High,[High] No owners assigned; [Medium] Active credentials but no recorded sign-in activity
App Registration,Report Message,9148e4c9-e55d-4fae-990b-db3670c0c318,2020-02-06,NONE,High,[High] No owners assigned
